ExtID,Level,Type,Width,Behavior,Description, 
1,13.8181$,Resistance,,Semi-Breakout,161.8% of 8.3950-11.7467,
2,17.1698$,Resistance,,Breakout,261.8% of 8.3950-11.7467,
3,22.5928$,Resistance,,Resistance,423.6% of 8.3950-11.7467,
4,25.9307$,Resistance,,Semi-Breakout,161.8% of 6.4120-18.4755,
5,31.3676$,Resistance,,Semi-Breakout,685.4% of 8.3950-11.7467,
6,37.9942$,Resistance,,Resistance,261.8% of 6.4120-18.4755,
7,45.5654$,Resistance,,Breakout,1109.0% of 8.3950-11.7467,
8,57.5130$,Resistance,,Resistance,423.6% of 6.4120-18.4755,
9,68.5379$,Resistance,,Semi-Resistance,1794.4% of 8.3950-11.7467,
10,89.0952$,Resistance,,Semi-Resistance,685.4% of 6.4120-18.4755,
11,105.7083$,Resistance,,Semi-Breakout,2903.4% of 8.3950-11.7467,
12,140.1962$,Resistance,,Semi-Breakout,1109.0% of 6.4120-18.4755,
13,165.8512$,Resistance,,,4697.8% of 8.3950-11.7467,
14,222.8794$,Resistance,,,1794.4% of 6.4120-18.4755,
15,263.1644$,Resistance,,,7601.2% of 8.3950-11.7467,
,,,,,,
Ticker:,GOOG,Current Date:,23 Jul 2009,Current Price:,10.8927$,
,From: 19 Aug 2004,To: 10 Nov 2023,By: Daily,Merge: 2.5%,Recent Pivots: 4,
,,,,,,
